source_audit,sample_token,scene_token,timestamp,cam_front_path,historical_derived_action,reviewed_action,frozen_action,action_match,label_rule_version,action_confidence,boundary_flags,uncertainty_reason,trajectory_points,trajectory_last_t_sec,trajectory_complete,nearby_agent_count,nearby_vru_count,has_vru,cam_front_exists
base,0307afa1ec7e48ce90295acabf8cb6dd,2fc3753772e241f2ab2cd16a784cc680,1535657113648526,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657113612404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.000897,yes,14,0,no,yes
base,12e1aa58e9d04068a33f37b896b901a3,2fc3753772e241f2ab2cd16a784cc680,1535657110651414,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657110612404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,2.997112,yes,13,0,no,yes
base,252b65dd79ce4712af1b898b64ea3b98,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385101398009,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101362404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.050749,yes,40,3,yes,yes
base,3d9b4a27209e4624b491f48144be21d6,2fc3753772e241f2ab2cd16a784cc680,1535657114148383,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657114112404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.000921,yes,14,0,no,yes
base,407969e29bf741f184bf8405af03588e,2fc3753772e241f2ab2cd16a784cc680,1535657111149672,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657111112404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,2.998711,yes,13,0,no,yes
base,00889f8a9549450aa2f32cf310a3e305,2fc3753772e241f2ab2cd16a784cc680,1535657119649820,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657119612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,2.999265,yes,14,3,yes,yes
base,0373e9d8886648779c8a73304919ab5f,2fc3753772e241f2ab2cd16a784cc680,1535657121149429,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657121112404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,2.998684,yes,16,3,yes,yes
base,236f1ecb6ee7459d918cd011831674d6,e233467e827140efa4b42d2b4c435855,1542801004447480,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542801004412460.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,2.999271,yes,19,13,yes,yes
base,286532245ff646a9915070c8b402e487,2fc3753772e241f2ab2cd16a784cc680,1535657117649169,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657117612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,3.000366,yes,16,3,yes,yes
base,37535cd306954669a2b21578573b93e3,6f83169d067343658251f72e1dd17dbc,1535489309896252,samples/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,3.001552,yes,30,7,yes,yes
base,bf2938e43c6f487497cda76b51bfc406,cc8c0bf57f984915a77078b10eb33198,1532402936699359,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402936662460.jpg,left_lateral,left_lateral,left_lateral,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.998152,yes,142,39,yes,yes
base,a19a80c905674faab7203a3a4e0f5246,325cef682f064c55a255f2625c533b75,1538984241447959,samples/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984241412460.jpg,right_lateral,right_lateral,right_lateral,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.998681,yes,62,25,yes,yes
base,17723c0411434e48875a93de4db0ecba,c5224b9b454b4ded9b5d2d2634bbda8a,1538448750047463,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448750012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000914,yes,18,9,yes,yes
base,19f02e3faab4412988f28d419e1727fa,c5224b9b454b4ded9b5d2d2634bbda8a,1538448751048300,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448751012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999272,yes,14,5,yes,yes
base,1dba6570f0774b5cb87de6694bb338c0,c5224b9b454b4ded9b5d2d2634bbda8a,1538448759047433,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448759012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000917,yes,11,0,no,yes
base,21342b260f964064855aa8ad1e741a22,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385107452513,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385107412404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.996574,yes,47,3,yes,yes
base,264c5f3a04744d53a72fd07c1bb6a724,c5224b9b454b4ded9b5d2d2634bbda8a,1538448757048500,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448757012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999238,yes,11,1,yes,yes
base,269ccf1fe399403c914e1f649d2a8ca2,c5224b9b454b4ded9b5d2d2634bbda8a,1538448758048230,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448758012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999857,yes,10,0,no,yes
base,2e024439286d469f8f743fe9266c0e56,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385105950634,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385105912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000417,yes,58,5,yes,yes
base,312cd4d3bef1476a9211d3dab50dd0b7,c5224b9b454b4ded9b5d2d2634bbda8a,1538448751548178,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448751512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.99927,yes,14,5,yes,yes
base,348c8122f47349429a6cd694dcac86e6,2fc3753772e241f2ab2cd16a784cc680,1535657115148131,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657115112404.jpg,keep,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,insufficient_forward_displacement,trajectory_speed_proxy_only,7,3.001485,yes,12,1,yes,yes
base,39bc0a6b3692446d8ba3bde3d6a0774e,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385097901019,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385097862411.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.997084,yes,48,3,yes,yes
base,3a7aa284dd9d485d8effc20db8cda140,c5224b9b454b4ded9b5d2d2634bbda8a,1538448749047731,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448749012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000897,yes,14,7,yes,yes
base,3d22d2c87c5b483a914c7e8125326013,2fc3753772e241f2ab2cd16a784cc680,1535657117149304,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657117112404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,3.000382,yes,16,3,yes,yes
base,3e7ed5cf0b4541e4a0e1b109dfea89cf,c5224b9b454b4ded9b5d2d2634bbda8a,1538448759546758,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448759512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000928,yes,10,0,no,yes
base,447c96d132e9494e8b03050e8dcae124,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385099899436,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099862404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.048545,yes,46,3,yes,yes
base,46292fc546f048f29520299220f22798,2fc3753772e241f2ab2cd16a784cc680,1535657122149177,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657122112404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,2.999793,yes,15,3,yes,yes
base,4786b3c0d0a24c8b86b0676d32dd5919,c5224b9b454b4ded9b5d2d2634bbda8a,1538448754047572,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448754012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000928,yes,13,4,yes,yes
base,4aaaf68b9f9f45968a4e862eb03e17ea,c5224b9b454b4ded9b5d2d2634bbda8a,1538448752048628,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448752012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999237,yes,14,5,yes,yes
base,4d8ff5b287bb4e1ba6d0a0f79fc74457,2fc3753772e241f2ab2cd16a784cc680,1535657123648262,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657123612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,3.00147,yes,15,3,yes,yes
base,4ee219c4638949de9d994bc792fd0a69,c5224b9b454b4ded9b5d2d2634bbda8a,1538448754547448,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448754512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000906,yes,14,4,yes,yes
base,521cde13efcc4f7cb5f93db99cce30f4,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385108451734,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385108412412.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.997105,yes,47,3,yes,yes
base,576f17c305324ed7bf460f0110617355,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385098900804,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385098862404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.04684,yes,44,3,yes,yes
base,59b32981037042eda1fed3c1026fbaba,c5224b9b454b4ded9b5d2d2634bbda8a,1538448758547578,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448758512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000922,yes,11,0,no,yes
base,5c85640c10d9485c86bf6eb44778c002,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385096399680,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385096362404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000417,yes,49,2,yes,yes
base,5f6cc6483988439a824cec99e28bb5b9,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385094949783,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.951236,yes,47,2,yes,yes
base,61d47d1198184bfdaa6777e9448d825d,c5224b9b454b4ded9b5d2d2634bbda8a,1538448755548316,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448755512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999262,yes,12,2,yes,yes
base,639a4120779f44bb9cf41be3e8612e36,c5224b9b454b4ded9b5d2d2634bbda8a,1538448752549040,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448752512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999276,yes,11,4,yes,yes
base,6b7487db4612438db7d446e2832a9e2e,2fc3753772e241f2ab2cd16a784cc680,1535657113148632,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657113112404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,2.999818,yes,14,0,no,yes
base,6d5d0e60cbf4429d8b6cfa055924e5ca,c5224b9b454b4ded9b5d2d2634bbda8a,1538448745547460,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448745512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999817,yes,16,7,yes,yes
base,6e004695af1549c398a52b5c95e22060,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385104949764,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.003384,yes,59,3,yes,yes
base,73ccc9c10a3547849b8ff130d50bac98,2fc3753772e241f2ab2cd16a784cc680,1535657124648599,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,3.00145,yes,15,3,yes,yes
base,73e2b7fb98ef41aface277a968d65941,2fc3753772e241f2ab2cd16a784cc680,1535657118149616,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657118112404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,2.999813,yes,15,3,yes,yes
base,73eb876167f4419a9a6ec1a601abdcaf,2fc3753772e241f2ab2cd16a784cc680,1535657114648261,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657114612404.jpg,keep,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,insufficient_forward_displacement,trajectory_speed_proxy_only,7,3.000908,yes,13,0,no,yes
base,79937d5eae1d450499677a0dcffa210c,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385095949554,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385095912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.95125,yes,48,2,yes,yes
base,7ae00681137b40f5bd7bef3823a82ee2,2fc3753772e241f2ab2cd16a784cc680,1535657115648632,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657115612404.jpg,keep,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,speed_threshold_boundary|insufficient_forward_displacement,trajectory_speed_proxy_only,7,3.000848,yes,12,1,yes,yes
base,7bf1cef0e253474e847ee4c2eb955901,d25718445d89453381c659b9c8734939,1542800381897652,samples/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800381862460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.050135,yes,16,1,yes,yes
base,7df1288fed8a403b8e7a35112b392d7c,c5224b9b454b4ded9b5d2d2634bbda8a,1538448756547528,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448756512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.99923,yes,12,2,yes,yes
base,7fd597745c26471ab336b3dd41a5f6dc,c5224b9b454b4ded9b5d2d2634bbda8a,1538448750547877,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448750512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999807,yes,15,7,yes,yes
base,8366b5125ac945f3b93153cfa39f1677,2fc3753772e241f2ab2cd16a784cc680,1535657112648213,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657112612404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.000419,yes,14,0,no,yes
base,8b6d496ed9d84469b75836ca1c56959f,2fc3753772e241f2ab2cd16a784cc680,1535657116148450,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657116112404.jpg,keep,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,stop_threshold_boundary,stop_boundary_candidate,7,3.001485,yes,13,1,yes,yes
base,91d9058720eb4c25a172236e14e11085,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385096900138,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385096862404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999298,yes,48,2,yes,yes
base,96d915e8b7e44bacba3c78e76a924e5c,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385108951051,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385108912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.998219,yes,46,3,yes,yes
base,9768a199e4884a0db50d015703efe969,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385097400558,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385097362404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.998223,yes,48,3,yes,yes
base,9a0a16d628ae41d1ab25c9cdfc66d6a1,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385107953148,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385107912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.995814,yes,45,3,yes,yes
base,9ecb1b79dbe140ca860efc4adebe854b,2fc3753772e241f2ab2cd16a784cc680,1535657122649085,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657122612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,3.00032,yes,16,3,yes,yes
base,a51146d2b181450292623ec03ade9f03,c5224b9b454b4ded9b5d2d2634bbda8a,1538448746047898,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448746012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,speed_threshold_boundary,none,7,2.999833,yes,15,7,yes,yes
base,a5addc41b07842768a2183abdd01cff8,2fc3753772e241f2ab2cd16a784cc680,1535657121649287,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657121612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,2.999312,yes,16,3,yes,yes
base,a9def8f915cf4bfe9c74b864384ec6c7,2fc3753772e241f2ab2cd16a784cc680,1535657116649423,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657116612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,3.000397,yes,14,2,yes,yes
base,ac9af15d1aba4f5786877dde9f0b1c93,c5224b9b454b4ded9b5d2d2634bbda8a,1538448755047865,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448755012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.000365,yes,14,4,yes,yes
base,af8c2d8187aa463eab3cccbd6abc1573,2fc3753772e241f2ab2cd16a784cc680,1535657124148113,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657124112404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,3.002067,yes,14,3,yes,yes
base,b2e2ffeabf91451cb31a79649bfd95df,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385106952072,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385106912404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.947885,yes,55,5,yes,yes
base,b2f333255d574bebb6f170beaab6a824,c5224b9b454b4ded9b5d2d2634bbda8a,1538448753048377,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448753012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.002049,yes,12,4,yes,yes
base,b422bd971acf483592e367c2c5057a60,c5224b9b454b4ded9b5d2d2634bbda8a,1538448760548179,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448760512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999808,yes,7,0,no,yes
base,ba2491f55619445e9d2e472f39f3b01b,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385105450180,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385105412404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,3.001554,yes,57,3,yes,yes
base,baaa60749cd04db7952fd8f4ef8ac837,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385100398781,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385100362404.jpg,decelerate,decelerate,decelerate,yes,phase-1.6-meta-action-v0.2,medium,,trajectory_speed_proxy_only,7,3.049105,yes,43,3,yes,yes
base,bad8a002637046178fe0f8216e5bc355,2fc3753772e241f2ab2cd16a784cc680,1535657123148366,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657123112404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,high,all_zero_trajectory,none,7,3.000912,yes,16,3,yes,yes
base,bc0040070bcc4233a057bb293f5f6444,c5224b9b454b4ded9b5d2d2634bbda8a,1538448757548354,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448757512460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999825,yes,11,0,no,yes
base,be1494c7762c43ca88010f366997a586,c5224b9b454b4ded9b5d2d2634bbda8a,1538448760047738,samples/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448760012460.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.999803,yes,9,0,no,yes
base,c15f8261acfd4013a735798770fad71a,2fc3753772e241f2ab2cd16a784cc680,1535657120649535,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657120612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,2.998727,yes,15,3,yes,yes
base,c537fef0b4b241df92f44daa976fe5b3,2fc3753772e241f2ab2cd16a784cc680,1535657118649480,samples/CAM_FRONT/n008-2018-08-30-15-16-55-0400__CAM_FRONT__1535657118612404.jpg,stop,stop,stop,yes,phase-1.6-meta-action-v0.2,medium,,stop_threshold_candidate,7,2.999807,yes,14,3,yes,yes
base,c9304cf98aad4ff0bb5b0cff0aab65d2,bebf5f5b2a674631ab5c88fd1aa9e87a,1535385095449675,samples/CAM_FRONT/n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385095412404.jpg,keep,keep,keep,yes,phase-1.6-meta-action-v0.2,high,,none,7,2.951212,yes,45,2,yes,yes
